epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,402.44,2.0041,0.71795,0.96154,1.37475,0.000233897,0.000233897,0.000233897
2,670.128,1.11591,0.88462,0.99573,0.45077,0.000453209,0.000453209,0.000453209
3,1188.23,0.66592,0.90598,0.99573,0.30867,0.000653673,0.000653673,0.000653673
4,1519.77,0.42276,0.9359,1,0.16937,0.000629177,0.000629177,0.000629177
5,2013.37,0.35041,0.92308,0.99573,0.19814,0.000600902,0.000600902,0.000600902
6,2661.81,0.27485,0.95299,1,0.1316,0.000572628,0.000572628,0.000572628
7,2984.91,0.2549,0.96154,1,0.11654,0.000544354,0.000544354,0.000544354
8,3755.16,0.20553,0.98291,1,0.07256,0.000516079,0.000516079,0.000516079
9,3941.76,0.1821,0.96581,1,0.10936,0.000487805,0.000487805,0.000487805
10,4715.29,0.17354,0.98291,1,0.05312,0.00045953,0.00045953,0.00045953
11,5538.55,0.15742,0.97436,1,0.07522,0.000431256,0.000431256,0.000431256
12,6058.44,0.15568,0.96581,1,0.07205,0.000402982,0.000402982,0.000402982
13,6318.09,0.14168,0.95299,1,0.10594,0.000374707,0.000374707,0.000374707
14,7173.02,0.11547,0.95299,1,0.09385,0.000346433,0.000346433,0.000346433
15,8068.1,0.11386,0.96581,1,0.06093,0.000318158,0.000318158,0.000318158
16,8303.45,0.1141,0.95299,1,0.08637,0.000289884,0.000289884,0.000289884
17,8484.85,0.11148,0.97009,1,0.06378,0.00026161,0.00026161,0.00026161
18,12467.9,0.10313,0.97436,1,0.071,0.000233335,0.000233335,0.000233335
19,16015.7,0.07847,0.97009,1,0.09625,0.000205061,0.000205061,0.000205061
20,16216.7,0.08953,0.97009,1,0.0703,0.000176786,0.000176786,0.000176786
21,17257.5,0.10073,0.96581,1,0.07649,0.000148512,0.000148512,0.000148512
22,17483.1,0.06746,0.96154,1,0.06514,0.000120238,0.000120238,0.000120238
23,17707.2,0.07914,0.97863,1,0.06716,9.19632e-05,9.19632e-05,9.19632e-05
24,18191.8,0.08873,0.97009,1,0.07221,6.36888e-05,6.36888e-05,6.36888e-05
25,18415.9,0.09643,0.97436,1,0.04737,3.54144e-05,3.54144e-05,3.54144e-05
